2025-11-04 08:45:57 install cmake:amd64 <none> 3.22.1-1ubuntu1.22.04.2
2025-11-04 08:45:57 status half-installed cmake:amd64 3.22.1-1ubuntu1.22.04.2
2025-11-04 08:45:57 status unpacked cmake:amd64 3.22.1-1ubuntu1.22.04.2
2025-11-04 08:45:57 install curl:amd64 <none> 7.81.0-1ubuntu1.21
2025-11-04 08:45:57 status half-installed curl:amd64 7.81.0-1ubuntu1.21
2025-11-04 08:45:57 status unpacked curl:amd64 7.81.0-1ubuntu1.21
2025-11-04 08:45:58 install libcurl3-gnutls:amd64 <none> 7.81.0-1ubuntu1.21
2025-11-04 08:45:58 status half-installed libcurl3-gnutls:amd64 7.81.0-1ubuntu1.21
2025-11-04 08:45:58 status unpacked libcurl3-gnutls:amd64 7.81.0-1ubuntu1.21
2025-11-04 08:45:58 install liberror-perl:all <none> 0.17029-1
2025-11-04 08:45:58 status half-installed liberror-perl:all 0.17029-1
2025-11-04 08:45:58 status unpacked liberror-perl:all 0.17029-1
2025-11-04 08:45:58 install git-man:all <none> 1:2.34.1-1ubuntu1.15
2025-11-04 08:45:58 status half-installed git-man:all 1:2.34.1-1ubuntu1.15
2025-11-04 08:45:58 status unpacked git-man:all 1:2.34.1-1ubuntu1.15
2025-11-04 08:45:58 install git:amd64 <none> 1:2.34.1-1ubuntu1.15
2025-11-04 08:45:58 status half-installed git:amd64 1:2.34.1-1ubuntu1.15
2025-11-04 08:45:58 status unpacked git:amd64 1:2.34.1-1ubuntu1.15
2025-11-04 08:45:58 install libltdl7:amd64 <none> 2.4.6-15build2
2025-11-04 08:45:58 status half-installed libltdl7:amd64 2.4.6-15build2
2025-11-04 08:45:58 status unpacked libltdl7:amd64 2.4.6-15build2
2025-11-04 08:45:58 install libltdl-dev:amd64 <none> 2.4.6-15build2
2025-11-04 08:45:58 status half-installed libltdl-dev:amd64 2.4.6-15build2
2025-11-04 08:45:58 status unpacked libltdl-dev:amd64 2.4.6-15build2
2025-11-04 08:45:59 install libtool:all <none> 2.4.6-15build2
2025-11-04 08:45:59 status half-installed libtool:all 2.4.6-15build2
2025-11-04 08:45:59 status unpacked libtool:all 2.4.6-15build2
2025-11-04 08:45:59 startup packages configure
2025-11-04 08:45:59 configure libmagic-mgc:amd64 1:5.41-3ubuntu0.1 <none>
2025-11-04 08:45:59 status unpacked libmagic-mgc:amd64 1:5.41-3ubuntu0.1
2025-11-04 08:45:59 status half-configured libmagic-mgc:amd64 1:5.41-3ubuntu0.1
2025-11-04 08:45:59 status installed libmagic-mgc:amd64 1:5.41-3ubuntu0.1
2025-11-04 08:45:59 configure libarchive13:amd64 3.6.0-1ubuntu1.5 <none>
2025-11-04 08:45:59 status unpacked libarchive13:amd64 3.6.0-1ubuntu1.5
2025-11-04 08:45:59 status half-configured libarchive13:amd64 3.6.0-1ubuntu1.5
2025-11-04 08:45:59 status installed libarchive13:amd64 3.6.0-1ubuntu1.5
2025-11-04 08:45:59 configure libcbor0.8:amd64 0.8.0-2ubuntu1 <none>
2025-11-04 08:45:59 status unpacked libcbor0.8:amd64 0.8.0-2ubuntu1
2025-11-04 08:45:59 status half-configured libcbor0.8:amd64 0.8.0-2ubuntu1
2025-11-04 08:45:59 status installed libcbor0.8:amd64 0.8.0-2ubuntu1
2025-11-04 08:45:59 configure libedit2:amd64 3.1-20210910-1build1 <none>
2025-11-04 08:45:59 status unpacked libedit2:amd64 3.1-20210910-1build1
2025-11-04 08:45:59 status half-configured libedit2:amd64 3.1-20210910-1build1
2025-11-04 08:45:59 status installed libedit2:amd64 3.1-20210910-1build1
2025-11-04 08:45:59 configure libmagic1:amd64 1:5.41-3ubuntu0.1 <none>
2025-11-04 08:45:59 status unpacked libmagic1:amd64 1:5.41-3ubuntu0.1
2025-11-04 08:45:59 status half-configured libmagic1:amd64 1:5.41-3ubuntu0.1
2025-11-04 08:45:59 status installed libmagic1:amd64 1:5.41-3ubuntu0.1
2025-11-04 08:45:59 configure less:amd64 590-1ubuntu0.22.04.3 <none>
2025-11-04 08:45:59 status unpacked less:amd64 590-1ubuntu0.22.04.3
2025-11-04 08:45:59 status half-configured less:amd64 590-1ubuntu0.22.04.3
2025-11-04 08:45:59 status installed less:amd64 590-1ubuntu0.22.04.3
2025-11-04 08:45:59 configure libxext6:amd64 2:1.3.4-1build1 <none>
2025-11-04 08:45:59 status unpacked libxext6:amd64 2:1.3.4-1build1
2025-11-04 08:45:59 status half-configured libxext6:amd64 2:1.3.4-1build1
2025-11-04 08:45:59 status installed libxext6:amd64 2:1.3.4-1build1
2025-11-04 08:45:59 configure libcurl3-gnutls:amd64 7.81.0-1ubuntu1.21 <none>
2025-11-04 08:45:59 status unpacked libcurl3-gnutls:amd64 7.81.0-1ubuntu1.21
2025-11-04 08:45:59 status half-configured libcurl3-gnutls:amd64 7.81.0-1ubuntu1.21
